"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Czech Republic (CZ)","02.01.2021 14:00 - 02.01.2021 15:00 (CET)","300","4067","255","1033","215","7","n/e","n/e","n/e","0","0","139","161","n/e","3460","78","283","61","24","n/e","23"
"Czech Republic (CZ)","02.01.2021 15:00 - 02.01.2021 16:00 (CET)","301","4075","255","1028","210","7","n/e","n/e","n/e","70","0","138","233","n/e","3460","79","284","12","24","n/e","26"
"Czech Republic (CZ)","02.01.2021 16:00 - 02.01.2021 17:00 (CET)","301","4086","269","1170","203","7","n/e","n/e","n/e","229","0","136","326","n/e","3457","80","284","2","24","n/e","27"
"Czech Republic (CZ)","02.01.2021 17:00 - 02.01.2021 18:00 (CET)","301","4077","275","1169","212","7","n/e","n/e","n/e","531","0","136","316","n/e","3456","87","285","0","24","n/e","33"
"Czech Republic (CZ)","02.01.2021 18:00 - 02.01.2021 19:00 (CET)","301","4072","271","1181","217","7","n/e","n/e","n/e","538","0","139","279","n/e","3456","87","288","0","24","n/e","48"
"Czech Republic (CZ)","02.01.2021 19:00 - 02.01.2021 20:00 (CET)","301","3946","267","1126","223","7","n/e","n/e","n/e","293","0","137","299","n/e","3453","85","288","0","24","n/e","52"
"Czech Republic (CZ)","02.01.2021 20:00 - 02.01.2021 21:00 (CET)","302","3990","243","453","219","9","n/e","n/e","n/e","830","0","138","250","n/e","3453","81","285","0","24","n/e","51"
"Czech Republic (CZ)","02.01.2021 21:00 - 02.01.2021 22:00 (CET)","297","3942","244","336","218","7","n/e","n/e","n/e","660","0","142","133","n/e","3452","73","282","0","24","n/e","49"
"Czech Republic (CZ)","02.01.2021 22:00 - 02.01.2021 23:00 (CET)","296","3851","244","314","217","7","n/e","n/e","n/e","105","0","150","22","n/e","3452","55","276","0","24","n/e","50"
"Czech Republic (CZ)","02.01.2021 23:00 - 03.01.2021 00:00 (CET)","288","3723","242","310","212","7","n/e","n/e","n/e","0","0","151","10","n/e","3450","51","273","0","24","n/e","52"
"Czech Republic (CZ)","03.01.2021 00:00 - 03.01.2021 01:00 (CET)","283","3059","251","307","209","8","n/e","n/e","n/e","0","11","152","10","n/e","3425","50","270","0","23","n/e","57"
"Czech Republic (CZ)","03.01.2021 01:00 - 03.01.2021 02:00 (CET)","283","2971","249","306","214","8","n/e","n/e","n/e","0","513","152","10","n/e","3414","50","270","0","23","n/e","67"
"Czech Republic (CZ)","03.01.2021 02:00 - 03.01.2021 03:00 (CET)","282","2946","253","308","215","9","n/e","n/e","n/e","0","748","152","10","n/e","3445","50","270","0","23","n/e","76"
"Czech Republic (CZ)","03.01.2021 03:00 - 03.01.2021 04:00 (CET)","282","2852","252","308","213","7","n/e","n/e","n/e","0","775","151","10","n/e","3448","51","269","0","23","n/e","92"
"Czech Republic (CZ)","03.01.2021 04:00 - 03.01.2021 05:00 (CET)","281","2838","253","309","217","7","n/e","n/e","n/e","0","1009","151","10","n/e","3449","51","269","0","23","n/e","91"
"Czech Republic (CZ)","03.01.2021 05:00 - 03.01.2021 06:00 (CET)","282","2778","258","311","215","7","n/e","n/e","n/e","0","927","151","10","n/e","3448","51","268","0","23","n/e","85"
"Czech Republic (CZ)","03.01.2021 06:00 - 03.01.2021 07:00 (CET)","283","2829","253","329","213","7","n/e","n/e","n/e","0","479","150","15","n/e","3450","69","274","0","23","n/e","64"
